country,year,population
European Union (27),1990,419997519
European Union (27),1991,421419173
European Union (27),1992,422863649
European Union (27),1993,424104740
European Union (27),1994,425189040
European Union (27),1995,425847857
European Union (27),1996,426181943
European Union (27),1997,426651685
European Union (27),1998,426655455
European Union (27),1999,426830677
European Union (27),2000,427627361
European Union (27),2001,428578326
European Union (27),2002,429890525
European Union (27),2003,431461841
European Union (27),2004,433058605
European Union (27),2005,434557134
European Union (27),2006,435683170
European Union (27),2007,436994510
European Union (27),2008,438548227
European Union (27),2009,439690812
European Union (27),2010,440608965
European Union (27),2011,441440625
European Union (27),2012,441999248
European Union (27),2013,442399413
European Union (27),2014,442964758
European Union (27),2015,443910920
European Union (27),2016,444911502
European Union (27),2017,445696788
European Union (27),2018,446503671
European Union (27),2019,447369201
European Union (27),2020,447777523
European Union (27),2021,447705920
European Union (27),2022,449113463
European Union (27),2023,450657572
European Union (27),2024,450259560
Poland,1990,38055448
Poland,1991,38152947
Poland,1992,38233636
Poland,1993,38294882
Poland,1994,38344312
Poland,1995,38364668
Poland,1996,38359164
Poland,1997,38348307
Poland,1998,38326431
Poland,1999,38287717
Poland,2000,38258077
Poland,2001,38247359
Poland,2002,38229407
Poland,2003,38203527
Poland,2004,38167568
Poland,2005,38124377
Poland,2006,38071169
Poland,2007,38020420
Poland,2008,37995902
Poland,2009,38002153
Poland,2010,38095356
Poland,2011,38208644
Poland,2012,38247867
Poland,2013,38259267
Poland,2014,38265113
Poland,2015,38266314
Poland,2016,38263260
Poland,2017,38254964
Poland,2018,38241070
Poland,2019,38225884
Poland,2020,38171005
Poland,2021,38040303
Poland,2022,38385734
Poland,2023,38762847
Poland,2024,38539209
